id;model_id;model_architecture;input_image_id;output_image_id;geostore_id;kernel_size;sample_size;training_params;version;data_status;training_status;eeified;deployed
0;0;segnet;0;1;f75559fb87f5c22deb56eb2a73aa4e12;256;1000;{"bucket": "geo-ai", "job_dir": "gs://geo-ai/Models/0/1579684545/", "base_names": ["training_patches", "eval_patches"], "data_dir": "gs://geo-ai/Data/0_1/f75559fb87f5c22deb56eb2a73aa4e12/256/1000", "in_bands": ["B1", "B2", "B3", "B4", "B5", "B6", "B7", "ndvi", "ndwi"], "out_bands": ["cropland", "land", "water", "urban"], "kernel_size": 256, "train_size": 47000, "eval_size": 12000, "model_type": "CNN", "model_architecture": "segnet", "output_activation": "", "batch_size": 16, "epochs": 1, "shuffle_size": 2000, "learning_rate": 0.001, "loss": "mse", "metrics": ["RootMeanSquaredError"], "model_output": "segmentation"};1579684545;COMPLETED;SUCCEEDED;True;True
1;1;deepvel;0;2;27d4ea6fd635f3a2dc20789e8058f34d;256;1000;{"bucket": "geo-ai", "job_dir": "gs://geo-ai/Models/1/1579780131/", "base_names": ["training_patches", "eval_patches"], "data_dir": "gs://geo-ai/Data/0_2/27d4ea6fd635f3a2dc20789e8058f34d/256/1000", "in_bands": ["B1", "B2", "B3", "B4", "B5", "B6", "B7", "ndvi", "ndwi"], "out_bands": ["impervious"], "kernel_size": 256, "train_size": 36000, "eval_size": 11000, "model_type": "CNN", "model_architecture": "deepvel", "output_activation": "", "batch_size": 16, "epochs": 1, "shuffle_size": 2000, "learning_rate": 0.001, "loss": "mse", "metrics": ["RootMeanSquaredError"], "model_output": "regression"};1579780131;COMPLETED;SUCCEEDED;True;True
2;1;unet;0;2;27d4ea6fd635f3a2dc20789e8058f34d;256;1000;{"bucket": "geo-ai", "job_dir": "gs://geo-ai/Models/1/1579795237/", "base_names": ["training_patches", "eval_patches"], "data_dir": "gs://geo-ai/Data/0_2/27d4ea6fd635f3a2dc20789e8058f34d/256/1000", "in_bands": ["B1", "B2", "B3", "B4", "B5", "B6", "B7", "ndvi", "ndwi"], "out_bands": ["impervious"], "kernel_size": 256, "train_size": 36000, "eval_size": 11000, "model_type": "CNN", "model_architecture": "unet", "output_activation": "", "batch_size": 16, "epochs": 1, "shuffle_size": 2000, "learning_rate": 0.001, "loss": "mse", "metrics": ["RootMeanSquaredError"], "model_output": "regression"};1579795237;COMPLETED;SUCCEEDED;True;True
3;0;deepvel;0;1;f75559fb87f5c22deb56eb2a73aa4e12;256;1000;{"bucket": "geo-ai", "base_names": ["training_patches", "eval_patches"], "data_dir": "gs://geo-ai/Data/0_1/f75559fb87f5c22deb56eb2a73aa4e12/256/1000", "in_bands": ["B1", "B2", "B3", "B4", "B5", "B6", "B7", "ndvi", "ndwi"], "out_bands": ["cropland", "land", "water", "urban"], "kernel_size": 256, "train_size": 47000, "eval_size": 12000, "model_type": "CNN", "model_architecture": "deepvel", "output_activation": "", "batch_size": 16, "epochs": 1, "shuffle_size": 2000, "learning_rate": 0.001, "loss": "mse", "metrics": ["RootMeanSquaredError"], "job_dir": "gs://geo-ai/Models/0/1579867953/", "model_output": "segmentation"};1579867953;COMPLETED;SUCCEEDED;True;True
4;2;sequential1;3;4;ee3ffec7cade256d06d61173f4fd8bda;1;20000;{"bucket": "geo-ai", "base_names": ["training_pixels", "eval_pixels"], "data_dir": "gs://geo-ai/Data/3_4/ee3ffec7cade256d06d61173f4fd8bda/1/20000", "in_bands": ["B2", "B3", "B4", "B5", "ndvi", "ndwi"], "out_bands": ["turbidity_blended_mean"], "kernel_size": 1, "train_size": 7951, "eval_size": 3572, "model_type": "MLP", "model_output": "regression", "model_architecture": "sequential1", "output_activation": "", "batch_size": 4, "epochs": 50, "shuffle_size": 2000, "learning_rate": 0.001, "loss": "mse", "metrics": ["mse"], "job_dir": "gs://geo-ai/Models/2/1580745172/"};1580745172;COMPLETED;SUCCEEDED;True;True
5;2;sequential1;3;4;ee3ffec7cade256d06d61173f4fd8bda;1;20000;{"bucket": "geo-ai", "base_names": ["training_pixels", "eval_pixels"], "data_dir": "gs://geo-ai/Data/3_4/ee3ffec7cade256d06d61173f4fd8bda/1/20000", "in_bands": ["B2", "B3", "B4", "B5", "ndvi", "ndwi"], "out_bands": ["turbidity_blended_mean"], "kernel_size": 1, "train_size": 7951, "eval_size": 3572, "model_type": "MLP", "model_output": "regression", "model_architecture": "sequential1", "output_activation": "", "batch_size": 4, "epochs": 100, "shuffle_size": 2000, "learning_rate": 0.001, "loss": "mse", "metrics": ["mse"], "job_dir": "gs://geo-ai/Models/2/1580827419/"};1580827419;COMPLETED;SUCCEEDED;True;True
6;2;sequential1;3;4;ee3ffec7cade256d06d61173f4fd8bda;1;20000;{"bucket": "geo-ai", "base_names": ["training_pixels", "eval_pixels"], "data_dir": "gs://geo-ai/Data/3_4/ee3ffec7cade256d06d61173f4fd8bda/1/20000", "in_bands": ["B2", "B3", "B4", "B5", "ndvi", "ndwi"], "out_bands": ["turbidity_blended_mean"], "kernel_size": 1, "train_size": 7951, "eval_size": 3572, "model_type": "MLP", "model_output": "regression", "model_architecture": "sequential1", "output_activation": "", "batch_size": 16, "epochs": 100, "shuffle_size": 2000, "learning_rate": 0.01, "loss": "mse", "metrics": ["mse"], "job_dir": "gs://geo-ai/Models/2/1581432502/"};1581432502;COMPLETED;SUCCEEDED;True;True
